1439933704;66.249.91.100;04516441
1439933704;66.249.91.100;04516441
1439933704;66.249.91.100;04516441
1439933704;66.249.91.100;04516441
1439933704;66.249.91.100;04516441
1439933705;66.249.91.100;04516441
1439933719;66.249.91.92;04516441
1439933719;66.249.91.92;04516441
1439933719;66.249.91.92;04516441
1439933719;66.249.91.92;04516441
1439933719;66.249.91.92;04516441
1439933775;66.249.91.100;04516441
1439933775;66.249.91.100;04516441
1439933775;66.249.91.100;04516441
1439933775;66.249.91.100;04516441
1439933783;66.249.91.108;04516441
1439933784;66.249.91.108;04516441
1439933784;66.249.91.108;04516441
1439933784;66.249.91.108;04516441
1439934200;157.55.39.191;01757410
1439934201;157.55.39.191;01757410
1439934201;157.55.39.191;01757410
1439934201;157.55.39.191;01757410
1439934201;157.55.39.191;01757410
1439934201;157.55.39.191;01757410
1439934406;157.55.39.14;01757410
1439934407;157.55.39.14;01757410
1439934408;157.55.39.14;01757410
1439934408;157.55.39.14;01757410
1439934449;207.46.13.49;01757410
1439934450;207.46.13.49;01757410
1439934450;207.46.13.49;01757410
1439934450;207.46.13.49;01757410
1439934450;207.46.13.49;01757410
1439937062;157.55.39.43;01757410
1439937062;157.55.39.43;01757410
1439937062;157.55.39.43;01757410
1439937062;157.55.39.43;01757410
1439937062;157.55.39.43;01757410
1439937062;157.55.39.43;01757410
1439947475;66.249.78.7;02588185
1439947476;66.249.78.7;02588185
1439947476;66.249.78.7;02588185
1439947476;66.249.78.7;02588185
1439947476;66.249.78.7;02588185
1439947476;66.249.78.7;02588185
1439947852;207.46.13.63;03216414
1439947852;207.46.13.63;03216414
1439947852;207.46.13.63;03216414
1439947852;207.46.13.63;03216414
1439947852;207.46.13.63;03216414
1439947852;207.46.13.63;03216414
1439948464;157.55.39.191;01757410
1439948465;157.55.39.191;01757410
1439948465;157.55.39.191;01757410
1439948465;157.55.39.191;01757410
1439948465;157.55.39.191;01757410
1439948465;157.55.39.191;01757410
1439956569;144.76.182.149;02588185
